rt,trial_type,trial_index,trial_number,time_elapsed,random_id,figure,difficulty,text_response,word_count,file_name,participant_id,image_description,participant_gender,participant_major,participant_is_group_member,stimulus_complexity
14210,survey-text,19,16,225222,p0dapobkyam,stimuli/56.jpg,medium,square,1,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv,dolphin,square,Female,Cognitive and Behavioral Neuroscience,FALSE,56
45159,survey-text,20,17,270387,p0dapobkyam,stimuli/160.jpg,hard,butterfly,1,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv,dolphin,butterfly,Female,Cognitive and Behavioral Neuroscience,FALSE,160
13144,survey-text,21,18,283541,p0dapobkyam,stimuli/128.jpg,hard,"looks like a bird
",4,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv,dolphin,"looks like a bird
",Female,Cognitive and Behavioral Neuroscience,FALSE,128
20840,survey-text,22,19,304389,p0dapobkyam,stimuli/96.jpg,medium,"a mix of triangles and squares
",6,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv,dolphin,"a mix of triangles and squares
",Female,Cognitive and Behavioral Neuroscience,FALSE,96
8092,survey-text,23,20,312492,p0dapobkyam,stimuli/32.jpg,easy,paper plane,2,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0dapobkyam_1772139826984.csv,dolphin,paper plane,Female,Cognitive and Behavioral Neuroscience,FALSE,32
18985,survey-text,4,1,42746,p0ncqkt89ht,stimuli/17.jpg,easy,"5 sides, shaped like a triangle",6,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv,elk,"5 sides, shaped like a triangle",Female,Cognitive Behavioral Neuroscience,FALSE,17
17348,survey-text,5,2,60120,p0ncqkt89ht,stimuli/129.jpg,hard,"looks like a leaf, lots of sides, polygon
",8,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv,elk,"looks like a leaf, lots of sides, polygon
",Female,Cognitive Behavioral Neuroscience,FALSE,129
56419,survey-text,6,3,116564,p0ncqkt89ht,stimuli/41.jpg,easy,"looks like shoe, 11 sides
",5,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv,elk,"looks like shoe, 11 sides
",Female,Cognitive Behavioral Neuroscience,FALSE,41
25303,survey-text,7,4,141893,p0ncqkt89ht,stimuli/73.jpg,medium,"looks like a paper crane
",5,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv,elk,"looks like a paper crane
",Female,Cognitive Behavioral Neuroscience,FALSE,73
12959,survey-text,8,5,154873,p0ncqkt89ht,stimuli/137.jpg,hard,"looks like a dragon, lots of sides, some pointy edges
",10,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv,elk,"looks like a dragon, lots of sides, some pointy edges
",Female,Cognitive Behavioral Neuroscience,FALSE,137
21436,survey-text,9,6,176330,p0ncqkt89ht,stimuli/153.jpg,hard,"lots of pointy edges, lots of sides",7,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv,elk,"lots of pointy edges, lots of sides",Female,Cognitive Behavioral Neuroscience,FALSE,153
27079,survey-text,10,7,203428,p0ncqkt89ht,stimuli/89.jpg,medium,"16 sides, 7 pointy edges
",5,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv,elk,"16 sides, 7 pointy edges
",Female,Cognitive Behavioral Neuroscience,FALSE,89
38361,survey-text,11,8,241806,p0ncqkt89ht,stimuli/121.jpg,hard,"lots of edges,",3,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv,elk,"lots of edges, ",Female,Cognitive Behavioral Neuroscience,FALSE,121
31758,survey-text,12,9,273581,p0ncqkt89ht,stimuli/105.jpg,medium,"3 triangles, at least 2 squares",6,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv,elk,"3 triangles, at least 2 squares",Female,Cognitive Behavioral Neuroscience,FALSE,105
8665,survey-text,13,10,282266,p0ncqkt89ht,stimuli/1.jpg,easy,"triangle, 3 sides, 3 angles",5,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv,elk,"triangle, 3 sides, 3 angles",Female,Cognitive Behavioral Neuroscience,FALSE,1
43115,survey-text,14,11,325406,p0ncqkt89ht,stimuli/97.jpg,medium,"lots of edges, two triangles, trapezoids and squares",8,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv,elk,"lots of edges, two triangles, trapezoids and squares ",Female,Cognitive Behavioral Neuroscience,FALSE,97
29409,survey-text,15,12,354833,p0ncqkt89ht,stimuli/25.jpg,easy,"1 triangel, 3 squares",4,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv,elk,"1 triangel, 3 squares ",Female,Cognitive Behavioral Neuroscience,FALSE,25
14622,survey-text,16,13,369473,p0ncqkt89ht,stimuli/9.jpg,easy,"rectangle, 4 sides, 4 angles",5,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv,elk,"rectangle, 4 sides, 4 angles",Female,Cognitive Behavioral Neuroscience,FALSE,9
17913,survey-text,17,14,387402,p0ncqkt89ht,stimuli/57.jpg,medium,"combination of triangles, squares",4,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv,elk,"combination of triangles, squares ",Female,Cognitive Behavioral Neuroscience,FALSE,57
22012,survey-text,18,15,409429,p0ncqkt89ht,stimuli/33.jpg,easy,9 sides,2,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv,elk,9 sides,Female,Cognitive Behavioral Neuroscience,FALSE,33
19216,survey-text,19,16,428662,p0ncqkt89ht,stimuli/113.jpg,hard,"lots of sides, one part looks like a crab claw",10,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv,elk,"lots of sides, one part looks like a crab claw ",Female,Cognitive Behavioral Neuroscience,FALSE,113
50526,survey-text,20,17,479205,p0ncqkt89ht,stimuli/145.jpg,hard,"rounded edges in some parts, also pointed edges, looks like a few triangles and squares were cut out of the shape",21,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv,elk,"rounded edges in some parts, also pointed edges, looks like a few triangles and squares were cut out of the shape",Female,Cognitive Behavioral Neuroscience,FALSE,145
